問いかけ,といかけ,question
一言,ひとこと,a word
変える,かえる,change
講演,こうえん,lecture
講演者,こうえんしゃ,lecturer
耳を傾ける,みみをかたむける,listen
ベストセラー,ベストセラー,bestseller
ふれ合い,ふれあい,contact
旅,たび,travel
著者,ちょしゃ,author
依頼する,いらいする,request
若者,わかもの,young person
何気ない,なにげない,casual
思わず,おもわず,unexpectedly / unconsciously
知らぬ間に,しらぬまに,without realizing it
いい気になる,いいきになる,be conceited
出会い,であい,encounter
気が合う,きがあう,get along well with
～をはじめ,～をはじめ,including ...
歩き回る,あるきまわる,walk around
体験,たいけん,experience
重ねる,かさねる,repeat
さすがに,さすがに,as might be expected (of sb)
感心する,かんしんする,be impressed
表情,ひょうじょう,expression
調子に乗る,ちょうしにのる,be conceited
独特な,どくとくな,unique
自慢,じまん,pride
自慢気な,じまんげな,proud
そういえば,そういえば,come to think of it
話を合わせる,はなしをあわせる,agree with what sb says
黙り込む,だまりこむ,say no more
清潔な,せいけつな,clean
～わけがない,～わけがない,cannot ... / it is impossible to ...
～だけに,～だけに,all the more ... because ...
ショックな,ショックな,shocking
気がつく,きがつく,notice
おかしい,おかしい,strange
恥ずかしい,はずかしい,embarrassing / ashamed
ものが見える,ものがみえる,realize things
冒頭,ぼうとう,beginning
詰める,つめる,pack
まとめる,まとめる,sum up
テーマ,テーマ,theme
願う,ねがう,hope
添える,そえる,add
和む,なごむ,be relaxed
拍手,はくしゅ,clap
締めくくる,しめくくる,finish